title,genres,director,cast,overview,keywords,rating,year
Quest for serpent,"Adventure, Romance",Edgar Wright,"Emma Stone, Lupita Nyong'o, Adam Driver","An intrepid agent sets out on a quest to find the legendary Codex Eternum before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","ancient-ruins, soulmate, treasure, love, map, exploration, reunion",8.5,2014
The crimson Signal,"Sci-Fi, Comedy",Wong Kar-wai,"Jason Momoa, Chadwick Boseman, Will Smith, Robert Downey Jr.","In a future where emotions are currency, humanity faces its greatest challenge yet. A brilliant pilot discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","wit, AI, dystopia, virtual-reality, absurd",8.1,2005
Dear crown,"Romance, Comedy",Sam Mendes,"Leonardo DiCaprio, Timothee Chalamet, Florence Pugh, Saoirse Ronan","A chance encounter on a rainy evening in 1960s New York sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","reunion, wedding, devotion, awkward, long-distance, satire",8.0,2000
Sky beacon,"Animation, Horror, Romance",Denis Villeneuve,"Robert Pattinson, Melissa McCarthy, Will Smith, Emily Blunt","A curious a struggling artist stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","possession, chemistry, magic, passion, devotion",5.6,2010
A bitter Life,Drama,Bong Joon-ho,"Christian Bale, Dev Patel, Tom Hanks, Jennifer Lawrence","A deeply moving portrait of a brilliant surgeon struggling to find meaning after explosion. Set against the backdrop of a small coastal town, the film explores themes of loss, hope, and human connection. A powerful story that stays with you long after the credits roll.","family, redemption, secrets, loss, relationships, sacrifice, ambition",9.4,2016
The ancient Trail,"Adventure, Sci-Fi",Barry Jenkins,"Denzel Washington, Scarlett Johansson, Ana de Armas","Stranded in the wilderness after a catastrophic scandal, a brilliant surgeon must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","discovery, wilderness, genetic-engineering, jungle, AI",5.6,2020
Code wolf,Action,Damien Chazelle,"Jake Gyllenhaal, Jason Momoa, Viola Davis","When a an arms dealer threatens to destabilize an entire region, a seasoned journalist is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","rescue, explosion, survival, combat, military, chase, weapons",5.0,1992
The hollow World,Animation,Guillermo del Toro,"Natalie Portman, Samuel L. Jackson, John Boyega","A curious a retired professor stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","friendship, fairy-tale, hero, colorful",7.2,1993
Voyage of dust,"Adventure, Horror, Animation",Robert Eggers,"Cate Blanchett, Ana de Armas, Kate Winslet, Jason Momoa","Stranded in the wilderness after a catastrophic betrayal, an ambitious lawyer must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","demon, colorful, map, pirates",8.4,1998
Still orchid,Drama,Chloe Zhao,"Brie Larson, Chris Evans, Timothee Chalamet","Spanning three decades, this intimate drama follows a retired professor through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","redemption, relationships, secrets, grief",5.8,2007
The fortress Files,"Action, Adventure",David Fincher,"Natalie Portman, Will Smith, Salma Hayek, Samuel L. Jackson","A detective must navigate a dangerous world of a rogue state to save innocent lives. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","exploration, explosion, jungle, military, wilderness, quest",6.7,2020
The ghost Paradox,Sci-Fi,Hayao Miyazaki,"Robert Downey Jr., Ana de Armas, Matt Damon, Emma Stone","Decades after the great collapse, a struggling artist embarks on a perilous journey across a transformed Earth. Along the way, they discover that the key to the future lies in the forgotten past. A sweeping sci-fi adventure with heart.","technology, dystopia, time-travel, AI",5.9,2009
Adventures of tide,"Animation, Drama",Barry Jenkins,"Chadwick Boseman, Benedict Cumberbatch, Adam Driver, Zendaya","A curious a small-town teacher stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","secrets, talking-animals, relationships, fantasy",8.1,2023
Operation horizon,"Action, Adventure, Comedy",Lulu Wang,"Brad Pitt, Chadwick Boseman, Jason Momoa, Charlize Theron","After surviving a devastating accident, a former soldier seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","expedition, treasure, survival, weapons, map",4.2,1993
The echo Witness,"Thriller, Sci-Fi, Romance",Edgar Wright,"Awkwafina, Meryl Streep, Saoirse Ronan","A seemingly perfect downtown Chicago hides dark secrets that a brilliant surgeon is determined to expose. As the investigation deepens, the hunter becomes the hunted. A masterfully crafted thriller that keeps you guessing until the very end.","cyberpunk, time-travel, reunion, stalker, AI",5.9,2006
The beacon of Tokyo,"Drama, Sci-Fi",Bong Joon-ho,"Jason Momoa, Ryan Gosling, Emily Blunt","A deeply moving portrait of a struggling artist struggling to find meaning after crisis. Set against the backdrop of post-war London, the film explores themes of loss, hope, and human connection. A powerful story that stays with you long after the credits roll.","space, genetic-engineering, cyberpunk, dystopia, family, grief, virtual-reality",7.3,1990
The whisper Connection,Crime,Guillermo del Toro,"Kate Winslet, Daniel Kaluuya, Jason Momoa, Michael B. Jordan","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","underworld, investigation, smuggling, gang, corruption, mafia",6.2,1996
Paper whisper,Romance,Pedro Almodovar,"Lupita Nyong'o, Awkwafina, Denzel Washington, Jake Gyllenhaal","Two strangers from different worlds find an unexpected connection in the Australian outback. As they navigate the complexities of love and life, they must decide what matters most. A beautiful, heartfelt romance that celebrates the power of vulnerability.","chemistry, love, reunion, heartbreak, wedding, passion",5.0,2023
Iron oracle,"Action, Horror",Greta Gerwig,"Emily Blunt, Tilda Swinton, Oscar Isaac","When a an arms dealer threatens to destabilize an entire region, a seasoned journalist is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","ghost, undercover, mercenary, nightmare, curse, rescue, military",7.5,2020
A bright Heart,"Romance, Adventure, Sci-Fi",Wes Anderson,"Denzel Washington, Jake Gyllenhaal, Brad Pitt, Sandra Bullock","When an ambitious lawyer returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","wilderness, chemistry, long-distance, technology, expedition, dystopia",8.8,2016
Under the stone,"Romance, Crime",Damien Chazelle,"Jason Momoa, Viola Davis, Jake Gyllenhaal, Scarlett Johansson","A chance encounter on a rainy evening in 1960s New York sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","long-distance, passion, forbidden-love, underworld, gang, informant, devotion",8.8,1999
The Ninth fortress,Thriller,Wong Kar-wai,"Natalie Portman, Adam Driver, Melissa McCarthy, Hailee Steinfeld",Nothing is as it seems when a retired professor uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"investigation, espionage, deception, paranoia, mystery, stalker, serial-killer",5.5,2000
The frozen Club,"Comedy, Animation",Hayao Miyazaki,"Tom Hardy, Jenna Ortega, Ana de Armas, Jake Gyllenhaal","A mismatched group of strangers must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","road-trip, fairy-tale, misunderstanding, musical",8.9,2023
Iron dust,Action,Kathryn Bigelow,"Lupita Nyong'o, Brad Pitt, Denzel Washington, Daniel Kaluuya","After surviving a devastating accident, a former scientist seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","mercenary, rescue, combat, chase",8.0,2023
Lucky titan,"Comedy, Romance",Chloe Zhao,"Al Pacino, Daisy Ridley, Ana de Armas","When a struggling artist accidentally accident, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","long-distance, devotion, passion, soulmate, awkward",6.0,1992
Stellar dawn,"Sci-Fi, Adventure",Pedro Almodovar,"Rami Malek, Denzel Washington, Emily Blunt","In a future where gravity can be controlled, humanity faces its greatest challenge yet. A brilliant soldier discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","jungle, dystopia, quest, virtual-reality",7.0,2020
hidden Waters,"Thriller, Action",Denis Villeneuve,"Gal Gadot, Chris Evans, John Boyega, Brad Pitt","A seemingly perfect 1960s New York hides dark secrets that a retired professor is determined to expose. As the investigation deepens, the hunter becomes the hunted. A masterfully crafted thriller that keeps you guessing until the very end.","investigation, deception, rescue, serial-killer, undercover, suspense",5.4,2023
A eternal Heart,"Romance, Horror, Sci-Fi",Park Chan-wook,"Al Pacino, Florence Pugh, John Boyega, Morgan Freeman","When a war veteran returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","genetic-engineering, slasher, chemistry, cyberpunk, wedding",8.6,2021
After the blade,Drama,Denis Villeneuve,"Emily Blunt, Ryan Gosling, Rachel McAdams, Oscar Isaac","Spanning three decades, this intimate drama follows a brilliant surgeon through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","ambition, family, loss, redemption",5.6,2010
The storm of Prague,"Drama, Crime",Bong Joon-ho,"Michael B. Jordan, Kate Winslet, Austin Butler, Gal Gadot","Spanning three decades, this intimate drama follows a retired professor through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","underworld, gang, smuggling, sacrifice, noir, loss",5.5,2014
Whispering wolf,"Animation, Horror",David Fincher,"John Boyega, Dev Patel, Scarlett Johansson","In a magical world where parallel worlds overlap, a young a retired professor embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","demon, quest, fairy-tale, slasher, fantasy, occult, musical",8.7,1998
shadow and the Magic sand,"Animation, Drama",Quentin Tarantino,"Emily Blunt, Adam Driver, Leonardo DiCaprio, Hailee Steinfeld","A curious a struggling artist stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","magic, relationships, friendship, fantasy, loss, quest",5.9,2014
Voyage of dawn,Adventure,James Cameron,"Idris Elba, Jason Momoa, Jake Gyllenhaal","When a map to an uncharted remote cabin surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","exploration, treasure, jungle, ancient-ruins",9.3,1993
Into the dust,"Adventure, Horror",Ridley Scott,"Austin Butler, Daisy Ridley, Will Smith, Cate Blanchett","When a map to an uncharted island estate surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","map, supernatural, discovery, exploration, wilderness, ancient-ruins",4.2,1990
The desperate Ring,"Crime, Sci-Fi, Thriller",Sam Mendes,"Benedict Cumberbatch, Scarlett Johansson, Ryan Gosling, Jason Momoa","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","underworld, cyberpunk, noir, corruption, heist, space",7.6,2018
The bitter Game,Thriller,Alejandro Inarritu,"Jennifer Lawrence, Charlize Theron, Anya Taylor-Joy, John Boyega",Nothing is as it seems when a young woman uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"paranoia, espionage, stalker, mystery, conspiracy",7.4,2002
The compass House,Horror,Chloe Zhao,"Denzel Washington, Samuel L. Jackson, Pedro Pascal, Robert Downey Jr.","Something is watching from the darkness in downtown Chicago. When people start disappearing, a retired professor must face an unimaginable terror to save those they love. Atmospheric and relentless, this horror film redefines fear.","ghost, occult, curse, supernatural, slasher, isolation, possession",7.0,2017
The stone Voyage,"Animation, Adventure, Comedy",Wes Anderson,"Denzel Washington, Daniel Kaluuya, Rami Malek","A curious a war veteran stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","colorful, quest, jungle, wit, map, satire, prank",9.3,2008
Seriously mysterious,"Comedy, Crime",Lulu Wang,"Brie Larson, John Boyega, Jennifer Lawrence, Melissa McCarthy","A mismatched group of siblings must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","gang, informant, underworld, absurd, smuggling",9.4,2001
Two moon,"Romance, Drama",Robert Eggers,"Awkwafina, Sandra Bullock, Kate Winslet, Brie Larson","A chance encounter on a rainy evening in post-war London sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","devotion, coming-of-age, forbidden-love, relationships, grief, wedding, identity",7.7,2002
cage Night,Comedy,Alfonso Cuaron,"Brie Larson, Scarlett Johansson, John Boyega","A mismatched group of colleagues must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","awkward, satire, funny, prank",8.8,2004
The echo Treasure,"Adventure, Horror",Damien Chazelle,"Morgan Freeman, Daniel Kaluuya, Pedro Pascal","Stranded in the wilderness after a catastrophic explosion, a young woman must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","nightmare, ancient-ruins, jungle, possession",9.0,2013
Wild mirror,"Adventure, Thriller",Damien Chazelle,"Margot Robbie, Awkwafina, Tom Hanks, Sandra Bullock","Stranded in the wilderness after a catastrophic betrayal, a small-town teacher must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","wilderness, pirates, exploration, conspiracy",4.7,2006
The ghost Voyage,Animation,Steven Spielberg,"Morgan Freeman, Adam Driver, Chris Evans","In a magical world where parallel worlds overlap, a young a single parent embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","quest, friendship, magic, fantasy, enchanted, talking-animals",8.3,2000
Quest for titan,"Adventure, Horror",Kathryn Bigelow,"Rami Malek, Emma Stone, Anya Taylor-Joy","When a map to an uncharted remote cabin surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","treasure, discovery, map, quest, jungle, exploration, slasher",7.4,2005
The Last valley,"Romance, Horror, Drama",Celine Sciamma,"Meryl Streep, Al Pacino, Charlize Theron, Benedict Cumberbatch","When a brilliant surgeon returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","chemistry, redemption, sacrifice, long-distance, reunion, nightmare, wedding",9.2,2000
The wild Trail,"Adventure, Crime, Action",Taika Waititi,"Melissa McCarthy, Awkwafina, Jenna Ortega","An intrepid operative sets out on a quest to find the legendary Eye of Orion before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","explosion, undercover, discovery, treasure, jungle, smuggling, weapons",6.5,2011
The cipher of Vienna,Drama,Park Chan-wook,"Will Smith, Benedict Cumberbatch, Ryan Gosling","Spanning three decades, this intimate drama follows a small-town teacher through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","sacrifice, redemption, relationships, family, loss, coming-of-age, identity",6.9,1994
